,x_coordinate,Total_Pressure_Recovery,Avg_total_pressure
0,0.0,1.0,110206109.94468579
1,0.000107382,0.9969402647307938,109868908.42320602
2,0.000217894,0.9948876881586016,109642701.94382112
3,0.000331629,0.9929847443813935,109432985.91269156
4,0.00044868,0.9911556924545872,109231413.21495141
5,0.000569144,0.9893518130236412,109032614.68005762
6,0.00069312,0.9875511691125697,108834172.71922284
7,0.000820711,0.9857235292667492,108632755.64143506
8,0.000952022,0.9839120450864701,108433119.01670016
9,0.001087162,0.9820728532070452,108230428.83422689
10,0.001226242,0.9802286081303442,108027181.75853904
11,0.001369377,0.9783872207080889,107824249.6138312
12,0.001516686,0.9765027114975682,107616565.18458478
13,0.001668289,0.9746125828619008,107408261.46035282
14,0.001824313,0.9727150231873317,107199138.79023066
15,0.001984886,0.9707723776821684,106985047.38610509
16,0.002150141,0.9688135647767339,106769174.2356877
17,0.002320215,0.9668361446486308,106551250.45564313
18,0.002495247,0.9648166555320644,106328690.41603072
19,0.002675382,0.9627711147864784,106103259.32772633
20,0.00286077,0.9606995434132288,105874959.50520773
21,0.003051563,0.9585866916516157,105642110.33167057
22,0.003247919,0.9564430092595964,105405863.4342892
23,0.00345,0.9542675973658461,105166119.75195159
24,0.003657973,0.9520515449342943,104921897.2340368
25,0.00387201,0.9498040428355088,104674208.77063712
26,0.004092288,0.9475168165858305,104422142.46309672
27,0.004318988,0.9451831708772029,104164960.44755976
28,0.004552298,0.9428147717504695,103903948.39300607
29,0.004792411,0.9404071197496496,103638610.43189518
30,0.005039525,0.937946404432734,103367424.5691366
31,0.005293843,0.9354376191099868,103090941.09803031
32,0.005555577,0.9328935051884534,102810564.199482
33,0.005824943,0.9302939837964341,102524081.05914956
34,0.006102162,0.9276353957020397,102231088.4073211
35,0.006387464,0.9249324252955777,101933204.5535293
36,0.006681085,0.9221768713641171,101629525.67400025
37,0.006983266,0.9193607562449488,101319172.5815603
38,0.007294259,0.9164816229595005,101001874.50215878
